StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,16.152622826049942,
2,1,1,16.152622826049942,23.899423738179056,
3,1,2,23.899423738179056,30.116666666666667,
4,1,3,30.116666666666667,36.333909595154275,
5,1,4,36.333909595154275,44.08071050728339,
6,1,5,44.08071050728339,inf,
7,2,0,-inf,inf,
8,3,0,-inf,inf,
9,4,0,-inf,20.88088624626853,
10,4,1,20.88088624626853,23.720805366355464,
11,4,2,23.720805366355464,26.0,
12,4,3,26.0,28.279194633644533,
13,4,4,28.279194633644533,31.11911375373147,
14,4,5,31.11911375373147,inf,
15,5,0,-inf,inf,
16,6,0,-inf,28.35241746044484,
17,6,1,28.35241746044484,36.97580155080278,
18,6,2,36.97580155080278,43.89655172413793,
19,6,3,43.89655172413793,50.81730189747308,
20,6,4,50.81730189747308,59.44068598783102,
21,6,5,59.44068598783102,inf,
22,39,0,-inf,6.399287317428015,
23,39,1,6.399287317428015,7.098979475371099,
24,39,2,7.098979475371099,7.660521739130435,
25,39,3,7.660521739130435,8.222064002889772,
26,39,4,8.222064002889772,8.921756160832857,
27,39,5,8.921756160832857,inf,
28,40,0,-inf,80.22549861679101,
29,40,1,80.22549861679101,86.22283592795164,
30,40,2,86.22283592795164,91.03603603603604,
31,40,3,91.03603603603604,95.84923614412044,
32,40,4,95.84923614412044,101.84657345528106,
33,40,5,101.84657345528106,inf,
34,41,0,-inf,164.1010889681172,
35,41,1,164.1010889681172,171.1425126881788,
36,41,2,171.1425126881788,176.79365079365078,
37,41,3,176.79365079365078,182.44478889912276,
38,41,4,182.44478889912276,189.48621261918436,
39,41,5,189.48621261918436,inf,
40,42,0,-inf,67.75847398330248,
41,42,1,67.75847398330248,87.03944839206166,
42,42,2,87.03944839206166,102.51351351351352,
43,42,3,102.51351351351352,117.98757863496537,
44,42,4,117.98757863496537,137.26855304372455,
45,42,5,137.26855304372455,inf,
46,43,0,-inf,3.966185122346534,
47,43,1,3.966185122346534,4.097529741210127,
48,43,2,4.097529741210127,4.2029411764705875,
49,43,3,4.2029411764705875,4.308352611731048,
50,43,4,4.308352611731048,4.439697230594641,
51,43,5,4.439697230594641,inf,
52,44,0,-inf,0.9786534744758759,
53,44,1,0.9786534744758759,1.0372326948594164,
54,44,2,1.0372326948594164,1.0842458100558658,
55,44,3,1.0842458100558658,1.1312589252523153,
56,44,4,1.1312589252523153,1.1898381456358558,
57,44,5,1.1898381456358558,inf,
58,55,0,-inf,-0.22520776827533323,
59,55,1,-0.22520776827533323,0.08465281113778036,
60,55,2,0.08465281113778036,0.3333333333333333,
61,55,3,0.3333333333333333,0.5820138555288862,
62,55,4,0.5820138555288862,0.8918744349419998,
63,55,5,0.8918744349419998,inf,
